Mean square error
0.010729267228652459
Point,X(mm),Y(mm),Z(mm),dX(mm),dY(mm),dZ(mm),dP(mm)
2406,2662.095859011626,22.802678538236112,-5914.922917032616,0.07737747608278539,0.0751278434408548,0.294300162361545,0.3134390725979251
2407,2662.4411747433023,-275.8984921790423,-5914.616023452251,0.0779973081877968,0.07482763013861603,0.2937463026860647,0.31300102980411554
2408,2659.5710663876953,-576.5421234142576,-5913.503930137984,0.07781455269119124,0.07741559612611794,0.29270423683172586,0.3126084602075501
4501,3684.1920325769734,1894.1552794002612,-4900.496518588496,0.07298822126932016,0.11191795057897157,0.22191725583088276,0.2590370177047401
4502,3685.36798056129,1678.791632415697,-4897.193794637091,0.07173676726739142,0.10307719464880634,0.22027362287551316,0.253557766138897
4503,3686.044836711808,1375.5671380969336,-4901.135203193287,0.07160985542701888,0.09275995467741709,0.21949546198155037,0.24881848487708716
4504,3686.8821625494847,1039.9332884425346,-4901.023300922032,0.07212939409975795,0.08300209833886531,0.21883659503608197,0.244911112750808
4505,3688.106224759176,671.46479557169,-4900.794714895975,0.07263826063192061,0.07399340555220739,0.21817287661829157,0.24155898878895923
4506,3687.74219848955,378.1929524233354,-4900.214548988074,0.07229573746613242,0.06857249314186924,0.217169757684177,0.23893841073395422
4507,3691.3401346776145,100.70685792527138,-4900.347313744168,0.07119036309968874,0.06497355550164491,0.2156622224787046,0.2362198656278619
4508,3690.1918126312007,-276.46806470297935,-4899.068042063992,0.07029698105342017,0.06326248257298296,0.21384693414846112,0.23382540172363256
4509,3686.574,-637.607,-4899.495,0.0,0.0,0.0,0.0
2501,3687.408828520514,1861.689744429033,-5893.718024277442,0.08455281328227006,0.1275509668295507,0.3059059741639162,0.3420480849270671
2502,3690.0344991155557,1588.1035455976667,-5897.61665830653,0.08519055859855917,0.1169182240188689,0.3054785828321716,0.33800069075552625
2503,3693.6971547242088,1257.031988737365,-5897.89691368442,0.08592487025626779,0.10474662388564923,0.30464471640693674,0.3334116701296777
2504,3693.664332462778,868.232996075526,-5898.724890692485,0.08560526551050666,0.09196532618369783,0.3031561255792038,0.328160812985634
2505,3693.440610373947,509.4078217279088,-5897.3729696010505,0.0841963407891984,0.0824583343208365,0.3009358837411025,0.32318850045181996
2506,3692.6080923751465,270.84009450832286,-5897.7082355786715,0.08295238933137054,0.0772774095421741,0.2992566562537193,0.32001162984099324
2507,3691.699365882393,-114.57422997682154,-5898.480427288475,0.08243341184652955,0.07341488809609774,0.2976714643714253,0.3174796275099409
2508,3686.9141109120783,-524.4470147944642,-5899.243491503492,0.08244459634860589,0.07578648773988986,0.2967116318859215,0.31714112897484553
2509,3687.9575902438855,-840.9099516903187,-5899.159483810468,0.08328159609910021,0.08165836734513941,0.2966534102500406,0.31875877873286296
2510,3686.20508648524,-1050.9374372665268,-5899.2428645081645,0.08429134627740692,0.08715154418227807,0.29690234014325323,0.3207045716748568
4601,4711.826,1827.08,-4889.11,0.0,0.0,0.0,0.0
4602,4711.141377641673,1662.6055853456166,-4885.624009419327,0.09812670341218875,0.1078371229472798,0.22967820517794288,0.2720473726060438
4603,4711.89893480846,1391.689941411771,-4888.490863261294,0.09620973943920265,0.09655843457249705,0.22756250653106952,0.2652631516602966
4604,4712.5542812153135,1071.2821117509466,-4888.223116188794,0.09487315671211308,0.08491672743503452,0.22569139653611053,0.25913003093662645
2601,4717.313,1864.731,-5892.505,0.0,0.0,0.0,0.0
2602,4719.103621209777,1551.85997803859,-5896.6571373218085,0.11309209616052106,0.11739314145965578,0.3134203905313003,0.3532751237725918
2603,4718.007595732464,1157.1328700682107,-5896.706111922863,0.11336279271158559,0.10287011725533159,0.31252359922356415,0.34800055153281945
2604,4718.310828793979,839.1248662213287,-5897.331938893943,0.11384605626703562,0.0930228182745185,0.3121469805655084,0.34503609481249203
2605,4717.190775376625,514.0043358193356,-5895.7601752443625,0.11322804800920078,0.08465145521179297,0.3105273695298808,0.34119452948808426
2606,4717.77521465486,167.45926448584328,-5896.7617431950475,0.11185513305822202,0.07814471543866597,0.3082647171098348,0.33711319042314125
2607,4718.745487215765,-137.59105017710826,-5896.682176445714,0.1107139557590322,0.07491278135556102,0.3063007143876378,0.33419998869631384
2608,4717.297075664844,-515.2921262443601,-5896.39563549368,0.11017246363952088,0.07648678009738016,0.30487991265866626,0.3330765083532949
2609,4718.157,-836.973,-5892.781,0.0,0.0,0.0,0.0
,dXs(mm),dYs(mm),dZs(mm),dPhi(rad),dOmega(rad),dKappa(rad)
0,0.03786054578639186,0.026132027293544587,0.06661825021517732,4.4325677607155e-06,4.279948910382423e-06,1.2701726420453941e-05
1,0.03508893646085696,0.026476725273102037,0.0650971129694318,4.458605088442256e-06,4.318076261394224e-06,1.2481759443134742e-05
2,0.02885505051256973,0.028185356688201206,0.06823027213982721,4.321160685485421e-06,4.206871158279976e-06,1.2628496798364786e-05
3,0.028638450752968638,0.0280390648214192,0.06843278541807138,4.333157141511511e-06,4.205637050988738e-06,1.2664786452126002e-05
4,0.04253225023606012,0.0265543960557857,0.07483200144179342,4.461560470891703e-06,4.276861752197547e-06,1.362612761588583e-05
5,0.04330422203716715,0.028070312593578842,0.0716722469795795,4.574475266228231e-06,4.360309847876432e-06,1.3250749093940557e-05
